SMILES,Activity
[C-]#[S+],1
[H]/N=C(\N)/SCC(=O)N(C)[C@@H]1CCS(=O)(=O)C1,0
[Li+].[Cl-],1
[Li+].[F-],1
[Li+].[Li+].C(=O)([O-])[O-],1
C(C(=O)O)NC(=O)C(=O)O,1
C(C(C1C(=C(C(=O)O1)O)O)O)O,1
C(C1C(C(C(O1)(CO)OP(=O)(O)O)O)O)OP(=O)(O)O,1
C(CCNCCCN)CN,1
C=CCNC1=NC=NC2=C1C=C(C=C2)Br,1
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,1
C1=CC(=C(C=C1C=CC(=O)O)O)O,1
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,1
C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,1
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,1
C1=CC(=C(C=C1Cl)C2=NC3=NC=CN=C3C(=N2)NC4=CC=NC=C4)F,1
C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O,1
C1=CC(=CC=C1C(=O)NC2=CC3=C(C=C2)NC=C3)F,1
C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,1
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,1
C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)[N+](=O)[O-],1
C1=CC(=CN=C1)C(=O)N,1
C1=CC=C(C=C1)C(=CC(=O)O)CCC2=CC=C(C=C2)Cl,1
C1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)NC=C3,1
C1=CC=C(C=C1)C(=O)NC2=NC=C3C(=C2)C=CN3,1
C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)O,1
C1=CC=C(C=C1)CNC(=O)C2=CSC(=N2)NC3=NC=NC=C3,1
C1=CC=C(C=C1)N2C3=NC=NC(=C3C=N2)N,1
C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,1
C1=CC=C2C(=C1)C(=CC=N2)C3=C(NN=C3)C4=CC=CC=N4,1
C1=CC=C2C(=C1)C(=CN2)C=CC(=O)NC3=CC=CC(=C3)C(=O)N,1
C1=CC=C2C(=C1)C(=O)N(C2=O)C(CC3=CNC4=CC=CC=C43)C(=O)O,1
C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)Br)[O-])Br)Br)[O-])Br.[Na+].[Na+],1
C1=CC=C2C(=C1)C=CC(=C2C=NNC(=O)C3=CC=NC=C3)O,1
C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,1
C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO,1
C1=CN(C(=O)N=C1)C2C(C(C(O2)CO)O)O,1
C1=CN(C2=NC=NC(=C21)N)C3C(C(C(O3)CO)O)O,1
C1=CN=C(C2=C1N(C=N2)C3C=C(C(C3O)O)CO)N,1
C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,1
C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)Cl)N,1
C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,1
C1C(C(OC1N2C=C(C(=O)NC2=O)Br)CO)O,1
C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,1
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,1
C1C(C1N)C2=CC=CC=C2,1
C1C(C1N)C2=CC=CC=C2,1
c1c(cc(cc1Sc2c3c([n-]cn3)ncn2)S(=O)(=O)N)N,0
c1c(cn[nH]1)CNC(=O)CC(=O)O,0
c1c(cn2c(c(nc2c1Cl)C3CC3)N)Cl,0
c1c(n[nH]n1)c2nnnn2CC[NH3+],0
c1c(nc(s1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/[O-],0
c1c(nc(s1)N2CC[C@H]3CCCC[C@@H]3C2)CN,0
C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-],1
C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)Br,1
C1C2C(C(C(O2)N3C4=NC=NC(=C4N=C3Br)N)O)OP(=O)(O1)O,1
C1CCC(CC1)N2C=NC3=C(N=C(N=C32)OC4=CC=CC5=CC=CC=C54)NC6=CC=C(C=C6)N7CCOCC7,1
C1CCC(CC1)NC2=NC(=NC3=C2NC=N3)NC4=CC=C(C=C4)N5CCOCC5,1
C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3,1
C1CN(CCN1)C2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC6=CC=CC=C56)N=C3,1
C1CN(CCN1)CC2=CSC3=NC(=CN23)C4=CC=CC=C4NC(=O)C5=NC6=CC=CC=C6N=C5.Cl,1
C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CC=C3I.Cl,1
C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5,1
C1COCCC1NC(=O)C2=CC=C(C=C2)C3=NC=CC(=C3)C4=C(NN=C4)C5=CC=CC=N5,1
C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4,1
C1OC2=C(O1)C=C(C=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5,1
CC(=CC1=CC=C(C=C1)C(=O)O)C2=CC3=C(C=C2)C(CCC3(C)C)(C)C,1
CC(=O)c1ccc(NC(=O)c2ccc(OC(C)C)cc2)cc1C,0
CC(=O)c1ccc(NC(=O)c2cccc(OCc3ccccc3)c2)cc1,0
CC(=O)c1ccc(NC(=O)CCc2ccc([N+](=O)[O-])cc2)cc1,0
CC(=O)c1ccc(NC(=O)CCNC(=O)C2CC2)cc1,0
CC(=O)c1ccc(NC(=O)CCNC(=O)c2ccccc2)cc1,0
CC(=O)c1ccc(NC(=O)Nc2ccccc2C(=O)N(C)C)cc1,0
CC(=O)c1ccc(OCC(=O)N(C)Cc2ccsc2)cc1,0
CC(=O)c1ccc(S(=O)(=O)Nc2cccc(C(N)=O)c2)cc1,0
CC(=O)c1cccc(NC(=O)CCc2ccc(O)cc2)c1,0
CC(=O)N(C)C1CCCN(C(=O)C(C)Oc2ccccc2)C1,0
CC(=O)N(C)Cc1ccc(C(=O)Nc2ccccc2C(C)C)s1,0
CC(=O)N(Cc1ccc(C)o1)c1nc(-c2ccsc2)cs1,0
CC(=O)N(O)Cc1cccc(NC(=O)c2cccc(-n3cncn3)c2)c1,0
CC(=O)N[C@@H](CS)C(=O)[O-],0
CC(=O)N1CCC(C(=O)Nc2ccc(S(=O)(=O)N(C)C)cc2)CC1,0
CC(=O)N1CCC(C(=O)NCc2ccc(CC(C)C)cc2)CC1,0
CC(=O)N1CCC(Oc2ccc(C#N)cc2)CC1C,0
CC(=O)N1CCC(Oc2cccc(C(F)(F)F)c2)CC1,0
CC(=O)N1CCc2cc(C(=O)N3CCC(Oc4ccccc4)CC3)ccc21,0
